clc_code,clc_label,code_cultu,area_m2,area_photo,area_agrivol,wavgprice,distance_0,cable_cost_est,protected_zone,eligible_pv,eligible_agri,centroid_lat,centroid_lon
18,Semences,PPH,502600.0,376950.0,40208.0,7.148550724637682,22672.04630190157,793521.620566555,,True,True,51.00365703305428,2.0781032694812898
1,Céréales,BTH,466599.99999999994,373280.0,46660.0,7.148550724637682,20815.824864374365,728553.8702531027,,True,True,50.838516656586435,2.1211188199287254
25,Cultures permanentes,PTC,417800.0,208900.0,20890.0,7.148550724637682,19470.26822083231,681459.3877291308,,True,True,50.755701376308444,2.406505158202847
2,Oléagineux,MIS,396000.0,316800.0,39600.0,7.148550724637682,26417.322865130132,924606.3002795547,,True,True,50.79245713555268,2.0731037076500773
3,Protéagineux,ORP,382299.99999999994,305839.99999999994,38229.99999999999,7.148550724637682,16708.163871557805,584785.7355045232,,True,True,50.875828097965815,2.157755603561597
9,Fruits,LIF,359900.0,143960.0,28792.0,7.148550724637682,21674.02531994951,758590.8861982328,,True,True,50.82635018508714,2.118377068570172
1,Céréales,BTH,340400.0,272320.0,34040.0,7.148550724637682,27885.911800447895,976006.9130156763,,True,True,50.74788426836074,2.106977756301883
1,Céréales,BTH,331500.0,265200.0,33150.0,7.148550724637682,12008.66370422357,420303.22964782495,,True,True,50.9961701964613,2.2444840453980324
25,Cultures permanentes,PTC,314600.0,157300.0,15730.0,7.148550724637682,9284.660153457497,324963.10537101235,,True,True,50.86511119389785,2.4633192101212074
24,Surfaces non agricoles,BTN,313500.0,188100.0,0.0,7.148550724637682,9856.990260985987,344994.65913450957,,True,False,50.870903962422226,2.4847681018741357
5,Sucre,CZH,313100.0,234825.0,25048.0,7.148550724637682,21472.701227587153,751544.5429655503,,True,True,50.737610812692644,2.406368828309502
11,Noix,JAC,291200.0,116480.0,14560.0,7.148550724637682,14870.657565259076,520473.0147840677,,True,True,50.98149406926579,2.1840644556529085
25,Cultures permanentes,PTC,290100.0,145050.0,14505.0,7.148550724637682,7877.249032133624,275703.7161246768,,True,True,50.875350986269254,2.4514801885253608
18,Semences,PPH,289100.0,216825.0,23128.0,7.148550724637682,27546.819175731707,964138.6711506097,,True,True,50.71522745613421,2.5754520404674555
18,Semences,PPH,287300.0,215475.0,22984.0,7.148550724637682,17385.379637340284,608488.2873069099,,True,True,50.77957104941713,2.312484568732366
24,Surfaces non agricoles,BTN,278000.0,166800.0,0.0,7.148550724637682,20258.578995289106,709050.2648351188,,True,False,50.74781822926739,2.382704823209
1,Céréales,BTH,277300.0,221840.0,27730.0,7.148550724637682,17198.58549035377,601950.4921623819,,True,True,50.87597353830186,2.150187129829216
18,Semences,PPH,274800.0,206100.0,21984.0,7.148550724637682,18264.8482296656,639269.6880382961,,True,True,50.76611008882263,2.3625522684537383
25,Cultures permanentes,PTC,272500.0,136250.0,13625.0,7.148550724637682,29053.9262299614,1016887.418048649,,True,True,50.89947233164362,1.968407760042525
1,Céréales,BTH,263200.0,210560.0,26320.0,7.148550724637682,28582.230821199715,1000378.07874199,,True,True,50.90323618042163,1.9744974240296238
